"Five3One","67","Exported on","20 de jan. de 2026"
" "," "," "
"Initial 1RM(kg)","Levantamento Terra","Agachamento","Supino","Desenvolvimento"
"","120.0","104.0","70.0","46.0"
" "," "," "
"Ciclo#","Semana","Lift","TM","Real","Data de conclusão","Notas","Avaliação","Série 1","Peso","Série 2","Peso","Série 3","Peso"
"1","2","Dead Lift","113.3","134.0","2025-01-16"," ","","3","80.0","3","90.0","8","106.0"
"1","2","Bench Press","80.0","84.0","2025-01-17"," ","","3","56.0","3","66.0","3","76.0"
"1","2","Military Press","50.0","51.0","2025-01-20"," ","","3","36.0","3","40.0","3","46.0"
"1","2","Squat","100.0","99.0","2025-01-21"," ","","3","70.0","3","80.0","3","90.0"
"1","3","Bench Press","80.0","78.0","2025-01-23"," ","","5","60.0","3","68.0","1","78.0"
"1","3","Dead Lift","113.3","133.0","2025-01-25"," ","","5","88.0","3","98.0","7","108.0"
"1","3","Military Press","50.0","51.0","2025-01-27"," ","","5","38.0","3","46.0","1","48.0"
"1","3","Squat","100.0","96.0","2025-01-28"," ","","5","76.0","3","86.0","1","96.0"
"2","1","Dead Lift","117.3","117.0","2025-01-30"," ","","5","76.0","5","88.0","5","100.0"
"2","1","Bench Press","82.0","82.0","2025-02-01"," ","","5","56.0","5","66.0","5","70.0"
"2","1","Squat","104.0","103.0","2025-02-03"," ","","5","68.0","5","78.0","5","88.0"
"2","1","Military Press","52.0","54.0","2025-02-04"," ","","5","36.0","5","40.0","5","46.0"
"2","2","Dead Lift","117.3","117.0","2025-02-06"," ","","3","86.0","3","96.0","3","106.0"
"2","2","Bench Press","82.0","84.0","2025-02-08"," ","","3","60.0","3","66.0","3","76.0"
"2","2","Squat","104.0","106.0","2025-02-09"," ","","5","76.0","3","86.0","3","96.0"
"2","2","Military Press","52.0","53.0","2025-02-10"," ","","3","36.0","3","40.0","3","48.0"
"2","3","Dead Lift","117.3","110.0","2025-02-12"," ","","5","90.0","3","100.0","1","110.0"
"2","3","Bench Press","82.0","78.0","2025-02-13"," ","","5","60.0","3","70.0","1","78.0"
"2","3","Squat","104.0","107.0","2025-02-15"," ","","5","80.0","3","90.0","2","100.0"
"2","3","Military Press","52.0","51.0","2025-02-16"," ","","5","40.0","3","46.0","1","50.0"
"3","1","Dead Lift","121.3","124.0","2025-02-19"," ","","5","80.0","5","90.0","5","106.0"
"3","1","Bench Press","84.0","82.0","2025-02-20"," ","","5","56.0","5","66.0","5","70.0"
"3","1","Squat","108.0","112.0","2025-02-22"," ","","5","76.0","5","86.0","5","96.0"
"3","1","Military Press","54.0","54.0","2025-02-23"," ","","5","36.0","5","40.0","5","46.0"
"3","2","Dead Lift","121.3","121.0","2025-02-25"," ","","3","86.0","3","96.0","3","110.0"
"3","2","Bench Press","84.0","84.0","2025-02-27"," ","","3","60.0","3","66.0","3","76.0"
"3","2","Squat","108.0","106.0","2025-02-28"," ","","3","76.0","3","86.0","3","96.0"
"3","2","Military Press","54.0","55.0","2025-03-02"," ","","3","38.0","3","46.0","3","50.0"
"3","3","Dead Lift","121.3","117.0","2025-03-04"," ","","5","90.0","3","106.0","1","116.0"
"3","3","Bench Press","84.0","80.0","2025-03-06"," ","","5","66.0","3","70.0","1","80.0"
"3","3","Squat","108.0","106.0","2025-03-08"," ","","5","86.0","3","96.0","1","106.0"
"3","3","Military Press","54.0","51.0","2025-03-10"," ","","5","40.0","3","46.0","1","50.0"
"4","1","Dead Lift","125.3","126.0","2025-03-18"," ","","5","80.0","5","96.0","5","108.0"
"4","1","Bench Press","86.0","89.0","2025-03-19"," ","","5","56.0","5","66.0","5","76.0"
"4","1","Military Press","56.0","56.0","2025-03-24"," ","","5","36.0","5","40.0","5","48.0"
"4","1","Squat","112.0","112.0","2025-03-26"," ","","5","76.0","5","86.0","5","96.0"
"4","2","Bench Press","86.0","86.0","2025-03-28"," ","","3","60.0","3","70.0","3","78.0"
"4","2","Dead Lift","125.3","130.0","2025-04-01"," ","","3","88.0","3","100.0","3","118.0","1","110.0"
"4","2","Squat","112.0","110.0","2025-04-03"," ","","3","78.0","3","90.0","3","100.0"
"4","2","Military Press","56.0","55.0","2025-04-04"," ","","3","40.0","3","46.0","3","50.0"
"4","3","Dead Lift","125.3","121.0","2025-04-07"," ","","5","100.0","3","110.0","1","120.0"
"4","3","Bench Press","86.0","86.0","2025-04-07"," ","","5","66.0","3","76.0","1","86.0"
"4","3","Squat","112.0","106.0","2025-04-09"," ","","5","86.0","3","96.0","1","106.0"
"4","3","Military Press","56.0","65.0","2025-04-10"," ","","5","40.0","3","48.0","5","56.0"
"5","1","Dead Lift","129.3","128.0","2025-04-11"," ","","5","88.0","5","98.0","5","110.0"
"5","1","Bench Press","88.0","99.0","2025-04-14"," ","","5","56.0","5","66.0","9","76.0"
"5","1","Squat","116.0","123.0","2025-04-17"," ","","5","76.0","5","88.0","7","100.0"
"5","1","Military Press","58.0","65.0","2025-04-18"," ","","5","40.0","5","46.0","9","50.0"
